N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
141.0,CJ대한통운,89700.0,3100.0,+3.58%,5000.0,113437.0,89939.0,3439.0
142.0,현대차우,83500.0,1600.0,+1.95%,5000.0,,,
143.0,LIG넥스원,92200.0,5500.0,-5.63%,5000.0,18222.0,25768.0,972.0
144.0,코스모신소재,66100.0,200.0,-0.30%,1000.0,3059.0,3485.0,218.0
145.0,대우건설,4860.0,50.0,+1.04%,5000.0,86852.0,104580.0,7383.0
146.0,한화생명,2280.0,85.0,+3.87%,5000.0,271736.0,1635914.0,13520.0
147.0,하이트진로,27250.0,150.0,-0.55%,5000.0,22029.0,36311.0,1741.0
148.0,KODEX 삼성그룹,9320.0,30.0,-0.32%,0.0,,,
149.0,농심,303500.0,0.0,0.00%,5000.0,26630.0,28999.0,1061.0
150.0,TIGER CD금리투자KIS(합성),51435.0,5.0,+0.01%,0.0,,,
151.0,금양,31050.0,750.0,-2.36%,500.0,2177.0,3148.0,121.0
152.0,오뚜기,449500.0,5000.0,+1.12%,5000.0,27390.0,26058.0,1666.0
153.0,대웅제약,154000.0,0.0,0.00%,2500.0,11530.0,14152.0,889.0
154.0,TIGER 미국S&P500,13135.0,15.0,-0.11%,0.0,,,
155.0,효성첨단소재,387500.0,17500.0,+4.73%,5000.0,35978.0,29087.0,4373.0
156.0,현대위아,63400.0,600.0,+0.96%,5000.0,75277.0,77495.0,1027.0
157.0,서울가스,340000.0,9000.0,+2.72%,5000.0,12778.0,16626.0,-49.0
158.0,대성홀딩스,105500.0,0.0,0.00%,1000.0,9405.0,12440.0,213.0
159.0,SK케미칼,98300.0,6100.0,+6.62%,5000.0,20896.0,39556.0,5552.0
160.0,TIGER TOP10,10500.0,65.0,-0.62%,0.0,,,
161.0,롯데정밀화학,63100.0,2300.0,+3.78%,5000.0,17803.0,27235.0,2445.0
162.0,LS ELECTRIC,53900.0,200.0,-0.37%,5000.0,26683.0,27967.0,1551.0
163.0,한전KPS,34900.0,550.0,+1.60%,200.0,13806.0,14269.0,1240.0
164.0,현대두산인프라코어,7920.0,620.0,+8.49%,1000.0,45937.0,47823.0,2645.0
165.0,효성,73800.0,1200.0,+1.65%,5000.0,35389.0,52579.0,6406.0
166.0,LX인터내셔널,40050.0,350.0,-0.87%,5000.0,166865.0,67469.0,6562.0
167.0,두산,93400.0,700.0,+0.76%,5000.0,132042.0,260099.0,9459.0
168.0,KODEX 단기채권PLUS,104270.0,35.0,+0.03%,0.0,,,
169.0,에스엘,33150.0,550.0,+1.69%,500.0,30011.0,25675.0,1105.0
170.0,녹십자,131500.0,1000.0,+0.77%,5000.0,15378.0,24621.0,737.0
171.0,LX세미콘,94000.0,200.0,+0.21%,500.0,18988.0,11725.0,3696.0
172.0,DL이앤씨,39250.0,400.0,+1.03%,5000.0,76317.0,87017.0,9573.0
173.0,TIGER 미국필라델피아반도체나스닥,9650.0,105.0,+1.10%,0.0,,,
174.0,영풍,812000.0,69000.0,+9.29%,5000.0,35821.0,55210.0,-268.0
175.0,효성티앤씨,342000.0,28500.0,+9.09%,5000.0,85960.0,45265.0,14237.0
176.0,JB금융지주,7490.0,70.0,+0.94%,5000.0,25415.0,563956.0,7083.0
177.0,TIGER 단기통안채,101620.0,10.0,-0.01%,0.0,,,
178.0,쌍용차,8760.0,0.0,0.00%,5000.0,24293.0,18630.0,-2613.0
179.0,신풍제약,26800.0,4150.0,+18.32%,500.0,1892.0,3926.0,-143.0
180.0,DL,67100.0,2600.0,+4.03%,5000.0,23854.0,83230.0,2219.0
181.0,동원시스템즈,48400.0,1000.0,+2.11%,5000.0,12509.0,14920.0,900.0
182.0,현대백화점,59000.0,300.0,+0.51%,5000.0,35724.0,89692.0,2644.0
183.0,현대일렉트릭,38000.0,400.0,-1.04%,5000.0,18060.0,22150.0,97.0
184.0,솔루스첨단소재,38950.0,250.0,+0.65%,100.0,3812.0,10116.0,20.0
185.0,TIGER 2차전지테마,21110.0,115.0,+0.55%,0.0,,,
186.0,KODEX 2차전지산업,22890.0,160.0,+0.70%,0.0,,,
187.0,롯데칠성,145500.0,1500.0,-1.02%,500.0,25061.0,35968.0,1822.0
188.0,TIGER 미국테크TOP10 INDXX,9390.0,70.0,+0.75%,0.0,,,
189.0,코오롱인더,47250.0,450.0,+0.96%,5000.0,46621.0,56013.0,2527.0
190.0,일진하이솔루스,35800.0,250.0,-0.69%,500.0,1177.0,3435.0,98.0
191.0,후성,13900.0,550.0,+4.12%,500.0,3813.0,6163.0,581.0
192.0,삼천리,315500.0,7500.0,+2.44%,5000.0,37633.0,42453.0,700.0
193.0,한미반도체,12550.0,250.0,+2.03%,100.0,3732.0,4293.0,1224.0
194.0,동국제강,12950.0,400.0,+3.19%,5000.0,72403.0,63341.0,8030.0
195.0,대웅,21000.0,0.0,0.00%,500.0,15114.0,19337.0,1826.0
196.0,대덕전자,24600.0,300.0,-1.20%,500.0,10009.0,9410.0,725.0
197.0,한국앤컴퍼니,12800.0,50.0,+0.39%,500.0,9633.0,40812.0,2283.0
198.0,TIGER MSCI Korea TR,13395.0,15.0,-0.11%,0.0,,,
199.0,DGB금융지주,6930.0,60.0,+0.87%,5000.0,51957.0,859060.0,7486.0
200.0,롯데제과,123500.0,3500.0,-2.76%,500.0,21454.0,26666.0,1085.0
201.0,KODEX 종합채권(AA-이상)액티브,99205.0,10.0,+0.01%,0.0,,,
202.0,현대엘리베이,28000.0,0.0,0.00%,5000.0,19734.0,29874.0,1290.0
203.0,SK가스,120000.0,1000.0,+0.84%,5000.0,64945.0,51215.0,1055.0
204.0,롯데렌탈,29750.0,450.0,+1.54%,5000.0,24227.0,61250.0,2455.0
205.0,KBSTAR 200,32505.0,70.0,-0.21%,0.0,,,
206.0,한샘,45250.0,1000.0,+2.26%,1000.0,22312.0,12464.0,693.0
207.0,아이에스동서,34350.0,600.0,+1.78%,500.0,16084.0,35098.0,3108.0
208.0,더존비즈온,34850.0,300.0,+0.87%,500.0,3187.0,9003.0,712.0
209.0,GKL,16900.0,250.0,+1.50%,500.0,851.0,5313.0,-1458.0
210.0,SK네트웍스,4210.0,55.0,+1.32%,2500.0,110181.0,94109.0,1220.0
211.0,현대건설기계,52900.0,4200.0,+8.62%,5000.0,32843.0,35543.0,1607.0
212.0,대한유화,159000.0,19000.0,+13.57%,5000.0,25149.0,24789.0,1794.0
213.0,종근당,86200.0,900.0,+1.06%,2500.0,13436.0,10467.0,948.0
214.0,KODEX 코스닥150레버리지,7280.0,180.0,-2.41%,0.0,,,
215.0,KODEX 단기채권,103990.0,15.0,+0.01%,0.0,,,
216.0,PI첨단소재,33300.0,50.0,-0.15%,500.0,3019.0,4730.0,759.0
217.0,명신산업,18450.0,350.0,-1.86%,500.0,11077.0,7195.0,565.0
218.0,솔루엠,19350.0,50.0,-0.26%,500.0,11533.0,7109.0,265.0
219.0,아시아나항공,12700.0,200.0,+1.60%,5000.0,43397.0,130827.0,932.0
220.0,금호타이어,3285.0,55.0,+1.70%,5000.0,26012.0,43422.0,-415.0
221.0,코리안리,7680.0,280.0,+3.78%,500.0,109155.0,131157.0,2035.0
222.0,오리온홀딩스,14700.0,100.0,+0.68%,500.0,24151.0,49618.0,3157.0
223.0,SK리츠,4665.0,80.0,-1.69%,500.0,186.0,24580.0,152.0
224.0,롯데리츠,3760.0,105.0,+2.87%,500.0,575.0,23926.0,337.0
225.0,KG스틸,9130.0,180.0,+2.01%,5000.0,33548.0,27711.0,2969.0
226.0,한국콜마,39650.0,400.0,+1.02%,500.0,15863.0,26060.0,843.0
227.0,코스모화학,25600.0,250.0,+0.99%,1000.0,5126.0,6813.0,305.0
228.0,TKG휴켐스,21900.0,500.0,+2.34%,1000.0,8612.0,9493.0,934.0
229.0,NHN,24850.0,150.0,+0.61%,500.0,19237.0,30272.0,979.0
230.0,신세계인터내셔날,24900.0,550.0,+2.26%,1000.0,14508.0,11591.0,920.0
231.0,다우기술,19600.0,350.0,+1.82%,500.0,60870.0,463224.0,12572.0
232.0,덴티움,79300.0,1500.0,-1.86%,500.0,2915.0,5702.0,699.0
233.0,F&F홀딩스,22050.0,950.0,-4.13%,500.0,7271.0,29123.0,2231.0
234.0,한일시멘트,12350.0,450.0,+3.78%,500.0,12719.0,23703.0,1204.0
235.0,더블유게임즈,46300.0,1700.0,-3.54%,500.0,6241.0,13819.0,1904.0
236.0,제이알글로벌리츠,4305.0,0.0,0.00%,1000.0,491.0,20049.0,241.0
237.0,이노션,42450.0,300.0,+0.71%,500.0,15020.0,22016.0,1357.0
238.0,하나투어,52800.0,200.0,-0.38%,500.0,403.0,4306.0,-1273.0
239.0,이수화학,30250.0,100.0,+0.33%,5000.0,17033.0,11689.0,821.0
240.0,풍산,29850.0,50.0,+0.17%,5000.0,35095.0,31483.0,3141.0
241.0,동양생명,5180.0,0.0,0.00%,5000.0,63476.0,371033.0,3322.0
242.0,롯데관광개발,11550.0,50.0,-0.43%,500.0,1071.0,13024.0,-1313.0
243.0,미원상사,168000.0,0.0,0.00%,500.0,3598.0,3724.0,572.0
244.0,일동제약,31050.0,1850.0,+6.34%,1000.0,5601.0,7090.0,-555.0
245.0,율촌화학,33450.0,300.0,-0.89%,500.0,5387.0,6667.0,110.0
246.0,태광산업,745000.0,13000.0,+1.78%,5000.0,25918.0,49238.0,3553.0
247.0,녹십자홀딩스,17550.0,50.0,-0.28%,500.0,18406.0,34968.0,862.0
248.0,미원에스씨,161000.0,500.0,+0.31%,500.0,5313.0,4381.0,950.0
249.0,ESR켄달스퀘어리츠,3845.0,10.0,-0.26%,1000.0,467.0,22680.0,238.0
250.0,KODEX 인버스,4730.0,15.0,+0.32%,0.0,,,
251.0,동원산업,220500.0,500.0,+0.23%,5000.0,28022.0,30519.0,2607.0
252.0,삼양식품,107500.0,0.0,0.00%,5000.0,6420.0,7531.0,654.0
253.0,LG전자우,44800.0,400.0,+0.90%,5000.0,,,
254.0,에이프로젠,1010.0,5.0,+0.50%,500.0,1412.0,8241.0,-27.0
255.0,TIGER 200 IT,30040.0,125.0,-0.41%,0.0,,,
256.0,대상,22050.0,100.0,+0.46%,1000.0,34700.0,28705.0,1532.0
257.0,한올바이오파마,14600.0,250.0,-1.68%,500.0,1016.0,1985.0,101.0
258.0,진에어,14600.0,200.0,+1.39%,1000.0,2472.0,6016.0,-1853.0
259.0,CJ CGV,15900.0,200.0,+1.27%,500.0,7363.0,37855.0,-2414.0
260.0,HDC현대산업개발,11450.0,300.0,+2.69%,5000.0,33639.0,65664.0,2734.0
261.0,영원무역홀딩스,55300.0,700.0,+1.28%,500.0,32405.0,43256.0,5705.0
262.0,삼성 레버리지 WTI원유 선물 ETN,1865.0,35.0,+1.91%,0.0,,,
263.0,대신증권,14550.0,150.0,+1.04%,5000.0,36353.0,227632.0,8855.0
264.0,보령,10600.0,50.0,-0.47%,500.0,6273.0,8286.0,414.0
265.0,넥센타이어,7220.0,0.0,0.00%,500.0,20794.0,38234.0,44.0
266.0,현대에너지솔루션,62100.0,2200.0,+3.67%,5000.0,5932.0,6056.0,95.0
267.0,해성디에스,40850.0,750.0,+1.87%,5000.0,6554.0,4749.0,863.0
268.0,한세실업,17350.0,1750.0,+11.22%,500.0,16720.0,12162.0,1067.0
269.0,대한해운,2170.0,80.0,+3.83%,500.0,11538.0,38597.0,2039.0
270.0,LX홀딩스,9050.0,80.0,+0.89%,1000.0,1858.0,14425.0,1472.0
271.0,케이카,14250.0,0.0,0.00%,500.0,19024.0,5500.0,711.0
272.0,유니드,77000.0,0.0,0.00%,5000.0,10973.0,13477.0,1683.0
273.0,TIGER 단기채권액티브,50900.0,20.0,+0.04%,0.0,,,
274.0,세아베스틸지주,18900.0,50.0,-0.26%,5000.0,36511.0,35260.0,2384.0
275.0,쿠쿠홈시스,30200.0,450.0,-1.47%,100.0,8932.0,9694.0,1786.0
276.0,신한 레버리지 WTI원유 선물 ETN(H),1345.0,20.0,+1.51%,0.0,,,
277.0,우리종금,769.0,3.0,+0.39%,500.0,3033.0,51597.0,1040.0
278.0,현대그린푸드,6880.0,10.0,-0.15%,500.0,34861.0,31100.0,586.0
279.0,KCC글라스,41850.0,650.0,+1.58%,1000.0,11757.0,18779.0,1605.0
280.0,LG생활건강우,317000.0,13000.0,+4.28%,5000.0,,,
281.0,한섬,26700.0,750.0,+2.89%,500.0,13874.0,15571.0,1522.0
282.0,SNT모티브,44850.0,750.0,+1.70%,5000.0,9417.0,11498.0,916.0
283.0,DN오토모티브,65600.0,1000.0,-1.50%,500.0,9308.0,14850.0,896.0
284.0,드림텍,9720.0,120.0,+1.25%,100.0,12316.0,7330.0,961.0
